ICD10,number
C44609,1456
shoulder,1457
C44611,1458
shoulder,1459
C44612,1460
shoulder,1461
C44619,1462
shoulder,1463
C44621,1464
shoulder,1465
C44622,1466
shoulder,1467
C44629,1468
shoulder,1469
C44691,1470
including,1471
C44692,1472
including,1473
C44699,1474
including,1475
C44701,1476
hip,1477
C44702,1478
hip,1479
C44709,1480
hip,1481
C44711,1482
hip,1483
C44712,1484
hip,1485
C44719,1486
hip,1487
C44721,1488
hip,1489
C44722,1490
hip,1491
C44729,1492
hip,1493
C44791,1494
including,1495
C44792,1496
including,1497
C44799,1498
including,1499
C4480,1500
C4481,1501
C4482,1502
C4489,1503
C4490,1504
C4491,1505
C4492,1506
C4499,1507
C450,1508
C451,1509
C452,1510
C457,1511
C459,1512
C460,1513
C461,1514
C462,1515
C463,1516
C464,1517
C4650,1518
C4651,1519
C4652,1520
C467,1521
C469,1522
C470,1523
and,1524
C4710,1525
including,1526
C4711,1527
including,1528
C4712,1529
including,1530
C4720,1531
including,1532
C4721,1533
including,1534
C4722,1535
including,1536
C473,1537
C474,1538
C475,1539
C476,1540
C478,1541
and,1542
C479,1543
"system,",1544
C480,1545
C481,1546
C482,1547
C488,1548
peritoneum,1549
C490,1550
"head,",1551
C4910,1552
upper,1553
C4911,1554
upper,1555
C4912,1556
upper,1557
C4920,1558
lower,1559
C4921,1560
lower,1561
C4922,1562
lower,1563
C493,1564
thorax,1565
C494,1566
abdomen,1567
C495,1568
pelvis,1569
C496,1570
"trunk,",1571
C498,1572
soft,1573
C499,1574
C49A0,1575
C49A1,1576
C49A2,1577
C49A3,1578
C49A4,1579
C49A5,1580
C49A9,1581
C50011,1582
C50012,1583
C50019,1584
C50021,1585
C50022,1586
C50029,1587
C50111,1588
C50112,1589
C50119,1590
C50121,1591
C50122,1592
C50129,1593
C50211,1594
C50212,1595
C50219,1596
C50221,1597
C50222,1598
C50229,1599
C50311,1600
C50312,1601
C50319,1602
C50321,1603
C50322,1604
C50329,1605
C50411,1606
C50412,1607
C50419,1608
C50421,1609
C50422,1610
C50429,1611
C50511,1612
C50512,1613
C50519,1614
C50521,1615
C50522,1616
C50529,1617
C50611,1618
C50612,1619
C50619,1620
C50621,1621
C50622,1622
C50629,1623
C50811,1624
C50812,1625
C50819,1626
C50821,1627
C50822,1628
C50829,1629
C50911,1630
C50912,1631
C50919,1632
C50921,1633
C50922,1634
C50929,1635
C510,1636
C511,1637
C512,1638
C518,1639
C519,1640
C52,1641
C530,1642
C531,1643
C538,1644
C539,1645
C540,1646
C541,1647
C542,1648
C543,1649
C548,1650
C549,1651
C55,1652
C561,1653
C562,1654
C563,1655
C569,1656
C5700,1657
C5701,1658
C5702,1659
C5710,1660
C5711,1661
C5712,1662
C5720,1663
C5721,1664
C5722,1665
C573,1666
C574,1667
C577,1668
C578,1669
organs,1670
C579,1671
C58,1672
C600,1673
C601,1674
C602,1675
C608,1676
C609,1677
C61,1678
C6200,1679
C6201,1680
C6202,1681
C6210,1682
C6211,1683
C6212,1684
C6290,1685
undescended,1686
C6291,1687
undescended,1688
C6292,1689
undescended,1690
C6300,1691
C6301,1692
C6302,1693
C6310,1694
C6311,1695
C6312,1696
C632,1697
C637,1698
C638,1699
organs,1700
C639,1701
C641,1702
C642,1703
C649,1704
C651,1705
C652,1706
C659,1707
C661,1708
C662,1709
C669,1710
C670,1711
C671,1712
C672,1713
C673,1714
C674,1715
C675,1716
C676,1717
C677,1718
C678,1719
C679,1720
C680,1721
C681,1722
C688,1723
C689,1724
C6900,1725
C6901,1726
C6902,1727
C6910,1728
C6911,1729
C6912,1730
C6920,1731
C6921,1732
C6922,1733
C6930,1734
C6931,1735
C6932,1736
C6940,1737
C6941,1738
C6942,1739
C6950,1740
C6951,1741
C6952,1742
C6960,1743
C6961,1744
C6962,1745
C6980,1746
adnexa,1747
C6981,1748
adnexa,1749
C6982,1750
adnexa,1751
C6990,1752
C6991,1753
C6992,1754
C700,1755
C701,1756
C709,1757
C710,1758
C711,1759
C712,1760
C713,1761
C714,1762
C715,1763
C716,1764
C717,1765
C718,1766
C719,1767
C720,1768
C721,1769
C7220,1770
C7221,1771
C7222,1772
C7230,1773
C7231,1774
C7232,1775
C7240,1776
C7241,1777
C7242,1778
C7250,1779
C7259,1780
C729,1781
C73,1782
C7400,1783
C7401,1784
C7402,1785
C7410,1786
C7411,1787
C7412,1788
C7490,1789
C7491,1790
C7492,1791
C750,1792
C751,1793
C752,1794
C753,1795
C754,1796
C755,1797
C758,1798
C759,1799
C7A00,1800
C7A010,1801
C7A011,1802
C7A012,1803
C7A019,1804
C7A020,1805
C7A021,1806
C7A022,1807
C7A023,1808
C7A024,1809
C7A025,1810
C7A026,1811
C7A029,1812
C7A090,1813
C7A091,1814
C7A092,1815
C7A093,1816
C7A094,1817
C7A095,1818
C7A096,1819
C7A098,1820
C7A1,1821
C7A8,1822
C7B00,1823
C7B01,1824
C7B02,1825
C7B03,1826
C7B04,1827
C7B09,1828
C7B1,1829
C7B8,1830
C760,1831
C761,1832
C762,1833
C763,1834
C7640,1835
C7641,1836
C7642,1837
C7650,1838
C7651,1839
C7652,1840
C768,1841
C770,1842
of,1843
C771,1844
nodes,1845
C772,1846
nodes,1847
C773,1848
upper,1849
C774,1850
lower,1851
C775,1852
nodes,1853
C778,1854
of,1855
C779,1856
unspecified,1857
C7800,1858
C7801,1859
C7802,1860
C781,1861
C782,1862
C7830,1863
C7839,1864
C784,1865
C785,1866
C786,1867
C787,1868
duct,1869
C7880,1870
C7889,1871
C7900,1872
C7901,1873
C7902,1874
C7910,1875
C7911,1876
C7919,1877
C792,1878
C7931,1879
C7932,1880
C7940,1881
C7949,1882
C7951,1883
C7952,1884
C7960,1885
C7961,1886
C7962,1887
C7963,1888
C7970,1889
C7971,1890
C7972,1891
C7981,1892
C7982,1893
C7989,1894
C799,1895
C800,1896
C801,1897
C802,1898
C8100,1899
C8101,1900
"face,",1901
C8102,1902
C8103,1903
C8104,1904
and,1905
C8105,1906
region,1907
C8106,1908
C8107,1909
C8108,1910
sites,1911
C8109,1912
sites,1913
C8110,1914
C8111,1915
and,1916
C8112,1917
C8113,1918
C8114,1919
upper,1920
C8115,1921
and,1922
C8116,1923
C8117,1924
C8118,1925
C8119,1926
C8120,1927
C8121,1928
and,1929
C8122,1930
C8123,1931
C8124,1932
upper,1933
C8125,1934
and,1935
C8126,1936
C8127,1937
C8128,1938
C8129,1939
C8130,1940
C8131,1941
and,1942
C8132,1943
C8133,1944
C8134,1945
upper,1946
C8135,1947
and,1948
C8136,1949
C8137,1950
C8138,1951
C8139,1952
C8140,1953
C8141,1954
neck,1955
C8142,1956
C8143,1957
C8144,1958
limb,1959
C8145,1960
lower,1961
C8146,1962
C8147,1963
C8148,1964
C8149,1965
C8170,1966
C8171,1967
neck,1968
C8172,1969
C8173,1970
C8174,1971
limb,1972
C8175,1973
lower,1974
C8176,1975
C8177,1976
C8178,1977
C8179,1978
C8190,1979
C8191,1980
neck,1981
C8192,1982
C8193,1983
C8194,1984
limb,1985
C8195,1986
lower,1987
C8196,1988
C8197,1989
C8198,1990
C8199,1991
C8200,1992
C8201,1993
and,1994
C8202,1995
C8203,1996
C8204,1997
upper,1998
C8205,1999
and,2000
